epoch,iso,phase,interval_ms,power.draw,utilization.gpu,utilization.memory,memory.used,clocks.sm,clocks.mem,temperature.gpu
1785388655.546,2026-07-30T05:17:35.546102+00:00,baseline,246.8,851.86,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388655.581,2026-07-30T05:17:35.581302+00:00,baseline,35.2,836.06,99.0,3.0,972.0,1965.0,3996.0,55.0
1785388655.623,2026-07-30T05:17:35.622594+00:00,baseline,41.3,836.06,99.0,3.0,972.0,1965.0,3996.0,55.0
1785388655.656,2026-07-30T05:17:35.655790+00:00,baseline,33.2,836.06,99.0,3.0,972.0,1965.0,3996.0,55.0
1785388655.69,2026-07-30T05:17:35.689741+00:00,baseline,33.9,835.93,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388655.725,2026-07-30T05:17:35.725297+00:00,baseline,35.6,835.93,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388655.758,2026-07-30T05:17:35.757773+00:00,baseline,32.5,835.93,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388655.793,2026-07-30T05:17:35.793012+00:00,baseline,35.2,836.14,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388655.831,2026-07-30T05:17:35.831136+00:00,baseline,38.1,836.14,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388655.864,2026-07-30T05:17:35.864202+00:00,baseline,33.1,836.14,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388655.902,2026-07-30T05:17:35.902142+00:00,baseline,37.9,836.76,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388655.936,2026-07-30T05:17:35.936469+00:00,baseline,34.3,836.76,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388655.974,2026-07-30T05:17:35.974247+00:00,baseline,37.8,836.76,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388656.012,2026-07-30T05:17:36.011726+00:00,baseline,37.5,837.77,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388656.046,2026-07-30T05:17:36.046217+00:00,baseline,34.5,837.77,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388656.079,2026-07-30T05:17:36.078791+00:00,baseline,32.6,838.49,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388656.111,2026-07-30T05:17:36.111178+00:00,baseline,32.4,838.49,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388656.146,2026-07-30T05:17:36.146128+00:00,baseline,35.0,838.49,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388656.183,2026-07-30T05:17:36.182638+00:00,baseline,36.5,838.47,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388656.221,2026-07-30T05:17:36.221025+00:00,baseline,38.4,838.47,99.0,3.0,972.0,1965.0,3996.0,61.0
1785388656.254,2026-07-30T05:17:36.253765+00:00,baseline,32.7,838.47,99.0,3.0,972.0,1965.0,3996.0,61.0
