=== PHASE A: Writing known pattern, sustained hold ===
HOLD 2026-07-30T05:30:17.931654 966, 204.34, 1
4, 202.04, 0
HOLD 2026-07-30T05:30:18.069451 966, 218.21, 0
4, 203.19, 0
HOLD 2026-07-30T05:30:18.345814 966, 232.02, 0
4, 203.22, 0
HOLD 2026-07-30T05:30:18.656744 966, 241.12, 0
4, 203.29, 0
HOLD 2026-07-30T05:30:18.806161 966, 246.37, 0
4, 203.32, 0
HOLD 2026-07-30T05:30:18.949496 966, 246.39, 0
4, 202.61, 0
HOLD 2026-07-30T05:30:19.098545 966, 246.44, 0
4, 201.34, 0
HOLD 2026-07-30T05:30:19.359886 966, 246.42, 0
4, 200.01, 0
HOLD 2026-07-30T05:30:19.508875 966, 246.48, 0
4, 197.92, 0
HOLD 2026-07-30T05:30:19.855602 966, 246.52, 0
4, 196.77, 0
HOLD 2026-07-30T05:30:20.009330 966, 246.55, 0
4, 196.60, 0
HOLD 2026-07-30T05:30:20.405767 966, 246.64, 0
4, 196.62, 0
HOLD 2026-07-30T05:30:20.802617 966, 246.65, 0
4, 196.59, 0
HOLD 2026-07-30T05:30:21.155433 966, 246.50, 0
4, 196.57, 0
HOLD 2026-07-30T05:30:21.308939 966, 246.54, 0
4, 196.49, 0
HOLD 2026-07-30T05:30:21.619872 966, 246.48, 0
4, 196.51, 0
HOLD 2026-07-30T05:30:21.762868 966, 246.48, 0
4, 196.49, 0
HOLD 2026-07-30T05:30:22.025419 966, 246.51, 0
4, 196.49, 0
HOLD 2026-07-30T05:30:22.322317 966, 246.50, 0
4, 196.48, 0
HOLD 2026-07-30T05:30:22.465951 966, 246.48, 0
4, 196.44, 0
HOLD 2026-07-30T05:30:22.615727 966, 246.54, 0
4, 196.43, 0
HOLD 2026-07-30T05:30:22.756485 966, 246.54, 0
4, 196.39, 0
HOLD 2026-07-30T05:30:23.033665 966, 246.54, 0
4, 196.41, 0
HOLD 2026-07-30T05:30:23.176252 966, 246.60, 0
4, 196.38, 0
HOLD 2026-07-30T05:30:23.322517 966, 246.59, 0
4, 196.37, 0
HOLD 2026-07-30T05:30:23.462410 966, 246.58, 0
4, 196.37, 0
HOLD 2026-07-30T05:30:23.733758 966, 246.54, 0
4, 196.42, 0
HOLD 2026-07-30T05:30:24.013649 966, 246.49, 0
4, 196.46, 0
HOLD 2026-07-30T05:30:24.371380 966, 246.43, 0
4, 196.44, 0
HOLD 2026-07-30T05:30:24.670460 966, 246.42, 0
4, 196.50, 0
HOLD 2026-07-30T05:30:24.961466 966, 246.57, 0
4, 196.44, 0
HOLD 2026-07-30T05:30:25.266912 966, 246.59, 0
4, 196.46, 0
HOLD 2026-07-30T05:30:25.426760 966, 246.63, 0
4, 196.45, 0
HOLD 2026-07-30T05:30:25.570500 966, 246.63, 0
4, 196.47, 0
HOLD 2026-07-30T05:30:25.722503 966, 246.60, 0
4, 196.45, 0
HOLD 2026-07-30T05:30:25.862809 966, 246.60, 0
4, 196.50, 0
HOLD 2026-07-30T05:30:26.149680 966, 246.51, 0
4, 196.51, 0
HOLD 2026-07-30T05:30:26.296296 966, 246.50, 0
4, 196.49, 0
HOLD 2026-07-30T05:30:26.440831 966, 246.51, 0
4, 196.50, 0
HOLD 2026-07-30T05:30:26.791791 966, 246.51, 0
4, 196.48, 0
HOLD 2026-07-30T05:30:27.086707 966, 246.51, 0
4, 196.41, 0
HOLD 2026-07-30T05:30:27.234195 966, 246.56, 0
4, 196.36, 0
HOLD 2026-07-30T05:30:27.519710 966, 246.57, 0
4, 196.34, 0
HOLD 2026-07-30T05:30:27.857799 966, 246.60, 0
4, 196.35, 0
HOLD 2026-07-30T05:30:28.141418 966, 246.64, 0
4, 196.34, 0
HOLD 2026-07-30T05:30:28.287659 966, 246.65, 0
4, 196.38, 0
HOLD 2026-07-30T05:30:28.428809 966, 246.64, 0
4, 196.39, 0
HOLD 2026-07-30T05:30:28.571073 966, 246.61, 0
4, 196.39, 0
HOLD 2026-07-30T05:30:28.719496 966, 246.66, 0
4, 196.39, 0
HOLD 2026-07-30T05:30:28.867985 966, 246.63, 0
4, 196.39, 0
HOLD 2026-07-30T05:30:29.015668 966, 246.58, 0
4, 196.39, 0
HOLD 2026-07-30T05:30:29.294301 966, 246.58, 0
4, 196.43, 0
HOLD 2026-07-30T05:30:29.441586 966, 246.55, 0
4, 196.43, 0
HOLD 2026-07-30T05:30:29.716897 966, 246.51, 0
4, 196.45, 0
HOLD 2026-07-30T05:30:30.020493 966, 246.49, 0
4, 196.47, 0
HOLD 2026-07-30T05:30:30.161034 966, 246.50, 0
4, 196.49, 0
HOLD 2026-07-30T05:30:30.307601 966, 246.47, 0
4, 196.46, 0
HOLD 2026-07-30T05:30:30.451444 966, 246.63, 0
4, 196.50, 0
HOLD 2026-07-30T05:30:30.849497 966, 246.71, 0
4, 196.51, 0
HOLD 2026-07-30T05:30:31.088707 966, 246.69, 0
4, 196.51, 0
HOLD 2026-07-30T05:30:31.406199 966, 246.58, 0
4, 196.48, 0
HOLD 2026-07-30T05:30:31.700312 966, 246.59, 0
4, 196.44, 0
HOLD 2026-07-30T05:30:31.851748 966, 246.51, 0
4, 196.36, 0
HOLD 2026-07-30T05:30:32.214108 966, 246.54, 0
4, 196.38, 0
HOLD 2026-07-30T05:30:32.358522 966, 246.58, 0
4, 196.37, 0
HOLD 2026-07-30T05:30:32.656957 966, 246.59, 0
4, 196.38, 0
HOLD 2026-07-30T05:30:32.812319 966, 246.68, 0
4, 196.41, 0
HOLD 2026-07-30T05:30:33.136671 966, 246.71, 0
4, 196.40, 0
HOLD 2026-07-30T05:30:33.496253 966, 246.69, 0
4, 196.38, 0
HOLD 2026-07-30T05:30:33.640434 966, 246.66, 0
4, 196.42, 0
HOLD 2026-07-30T05:30:33.916269 966, 246.72, 0
4, 196.37, 0
HOLD 2026-07-30T05:30:34.484797 966, 246.74, 0
4, 196.43, 0
HOLD 2026-07-30T05:30:34.632589 966, 246.71, 0
4, 196.41, 0
HOLD 2026-07-30T05:30:34.777583 966, 246.72, 0
4, 196.38, 0
HOLD 2026-07-30T05:30:34.922500 966, 246.71, 0
4, 196.35, 0
HOLD 2026-07-30T05:30:35.211233 966, 246.66, 0
4, 196.36, 0
HOLD 2026-07-30T05:30:35.506910 966, 246.69, 0
4, 196.34, 0
HOLD 2026-07-30T05:30:35.828051 966, 246.73, 0
4, 196.42, 0
HOLD 2026-07-30T05:30:36.266455 966, 246.79, 0
4, 196.42, 0
HOLD 2026-07-30T05:30:36.571012 966, 246.74, 0
4, 196.41, 0
HOLD 2026-07-30T05:30:36.858382 966, 246.71, 0
4, 196.45, 0
HOLD 2026-07-30T05:30:37.003701 966, 246.56, 0
4, 196.47, 0
HOLD 2026-07-30T05:30:37.315502 966, 246.58, 0
4, 196.44, 0
HOLD 2026-07-30T05:30:37.590964 966, 246.61, 0
4, 196.45, 0
HOLD 2026-07-30T05:30:37.737414 966, 246.72, 0
4, 196.43, 0
HOLD 2026-07-30T05:30:38.033676 966, 246.76, 0
4, 196.40, 0
HOLD 2026-07-30T05:30:38.175954 966, 246.84, 0
4, 196.40, 0
HOLD 2026-07-30T05:30:38.459552 966, 246.84, 0
4, 196.43, 0
HOLD 2026-07-30T05:30:38.733855 966, 246.85, 0
4, 196.44, 0
HOLD 2026-07-30T05:30:38.874372 966, 246.87, 0
4, 196.38, 0
HOLD 2026-07-30T05:30:39.020978 966, 246.87, 0
4, 196.33, 0
HOLD 2026-07-30T05:30:39.256876 966, 246.80, 0
4, 196.25, 0
HOLD 2026-07-30T05:30:39.407855 966, 246.78, 0
4, 196.23, 0
HOLD 2026-07-30T05:30:39.554336 966, 246.76, 0
4, 196.24, 0
HOLD 2026-07-30T05:30:39.704526 966, 246.68, 0
4, 196.30, 0
HOLD 2026-07-30T05:30:40.022026 966, 246.68, 0
4, 196.29, 0
HOLD 2026-07-30T05:30:40.163563 966, 246.71, 0
4, 196.30, 0
HOLD 2026-07-30T05:30:40.313020 966, 246.75, 0
4, 196.30, 0
HOLD 2026-07-30T05:30:40.585517 966, 246.76, 0
4, 196.24, 0
HOLD 2026-07-30T05:30:40.728940 966, 246.78, 0
4, 196.24, 0
HOLD 2026-07-30T05:30:40.868742 966, 246.80, 0
4, 196.23, 0
HOLD 2026-07-30T05:30:41.015088 966, 246.81, 0
4, 196.23, 0
HOLD 2026-07-30T05:30:41.156373 966, 246.78, 0
4, 196.32, 0
