=== PHASE A: Spawning child, writing pattern, sustained hold ===
HOLD 2026-07-30T05:40:57.629932 966, 205.53, 0
4, 200.24, 0
HOLD 2026-07-30T05:40:57.765745 966, 210.13, 0
4, 201.55, 0
HOLD 2026-07-30T05:40:57.912370 966, 224.32, 0
4, 202.14, 0
HOLD 2026-07-30T05:40:58.216750 966, 233.80, 0
4, 202.08, 0
HOLD 2026-07-30T05:40:58.355555 966, 238.55, 0
4, 202.07, 0
HOLD 2026-07-30T05:40:58.500188 966, 246.51, 0
4, 202.08, 0
HOLD 2026-07-30T05:40:58.648192 966, 246.50, 0
4, 202.10, 0
HOLD 2026-07-30T05:40:58.788954 966, 246.50, 0
4, 201.33, 0
HOLD 2026-07-30T05:40:58.932561 966, 246.52, 0
4, 200.73, 0
HOLD 2026-07-30T05:40:59.077732 966, 246.62, 0
4, 198.18, 0
HOLD 2026-07-30T05:40:59.451699 966, 246.67, 0
4, 196.16, 0
HOLD 2026-07-30T05:40:59.739052 966, 246.68, 0
4, 195.65, 0
HOLD 2026-07-30T05:40:59.901803 966, 246.68, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:00.218790 966, 246.69, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:00.358962 966, 246.70, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:00.698073 966, 246.58, 0
4, 195.47, 0
HOLD 2026-07-30T05:41:00.964991 966, 246.58, 0
4, 195.45, 0
HOLD 2026-07-30T05:41:01.317304 966, 246.51, 0
4, 195.47, 0
HOLD 2026-07-30T05:41:01.459186 966, 246.49, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:01.779557 966, 246.49, 0
4, 195.48, 0
HOLD 2026-07-30T05:41:01.924859 966, 246.46, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:02.066715 966, 246.44, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:02.215772 966, 246.44, 0
4, 195.49, 0
HOLD 2026-07-30T05:41:02.356928 966, 246.45, 0
4, 195.43, 0
HOLD 2026-07-30T05:41:02.634638 966, 246.50, 0
4, 195.45, 0
HOLD 2026-07-30T05:41:02.972315 966, 246.56, 0
4, 195.48, 0
HOLD 2026-07-30T05:41:03.116486 966, 246.59, 0
4, 195.46, 0
HOLD 2026-07-30T05:41:03.379885 966, 246.62, 0
4, 195.51, 0
HOLD 2026-07-30T05:41:03.639515 966, 246.60, 0
4, 195.50, 0
HOLD 2026-07-30T05:41:03.784517 966, 246.59, 0
4, 195.50, 0
HOLD 2026-07-30T05:41:03.925878 966, 246.57, 0
4, 195.48, 0
HOLD 2026-07-30T05:41:04.067731 966, 246.60, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:04.214393 966, 246.66, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:04.354907 966, 246.65, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:04.643644 966, 246.66, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:04.802222 966, 246.71, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:05.063881 966, 246.68, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:05.215874 966, 246.64, 0
4, 195.58, 0
HOLD 2026-07-30T05:41:05.355154 966, 246.61, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:05.616140 966, 246.63, 0
4, 195.58, 0
HOLD 2026-07-30T05:41:05.757121 966, 246.60, 0
4, 195.59, 0
HOLD 2026-07-30T05:41:06.026557 966, 246.56, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:06.341846 966, 246.58, 0
4, 195.52, 0
HOLD 2026-07-30T05:41:06.495460 966, 246.62, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:06.644232 966, 246.58, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:06.784118 966, 246.57, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:06.937000 966, 246.67, 0
4, 195.57, 0
HOLD 2026-07-30T05:41:07.317001 966, 246.65, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:07.459714 966, 246.69, 0
4, 195.54, 0
HOLD 2026-07-30T05:41:07.768458 966, 246.71, 0
4, 195.55, 0
HOLD 2026-07-30T05:41:07.919576 966, 246.69, 0
4, 195.53, 0
HOLD 2026-07-30T05:41:08.129988 966, 246.71, 0
4, 195.37, 0
