epoch,iso,phase,interval_ms,power.draw,utilization.gpu,utilization.memory,memory.used,clocks.sm,clocks.mem,temperature.gpu
1789867859.215,2026-09-20T01:30:59.215440+00:00,baseline,35.9,643.55,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.249,2026-09-20T01:30:59.249157+00:00,baseline,33.7,643.47,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.278,2026-09-20T01:30:59.278064+00:00,baseline,28.9,643.47,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.31,2026-09-20T01:30:59.309623+00:00,baseline,31.6,643.47,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.338,2026-09-20T01:30:59.338158+00:00,baseline,28.5,643.68,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.37,2026-09-20T01:30:59.369765+00:00,baseline,31.6,643.68,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.401,2026-09-20T01:30:59.400991+00:00,baseline,31.2,643.68,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.432,2026-09-20T01:30:59.432497+00:00,baseline,31.5,643.22,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.464,2026-09-20T01:30:59.464298+00:00,baseline,31.8,643.22,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.494,2026-09-20T01:30:59.493740+00:00,baseline,29.4,643.22,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.525,2026-09-20T01:30:59.525406+00:00,baseline,31.7,643.22,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.554,2026-09-20T01:30:59.554014+00:00,baseline,28.6,643.25,99.0,5.0,884.0,1980.0,3201.0,53.0
1789867859.583,2026-09-20T01:30:59.582986+00:00,baseline,29.0,643.25,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.612,2026-09-20T01:30:59.611520+00:00,baseline,28.5,643.25,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.641,2026-09-20T01:30:59.641437+00:00,baseline,29.9,643.38,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.67,2026-09-20T01:30:59.670496+00:00,baseline,29.1,643.38,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.7,2026-09-20T01:30:59.699681+00:00,baseline,29.2,643.38,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.731,2026-09-20T01:30:59.731112+00:00,baseline,31.4,643.61,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.76,2026-09-20T01:30:59.759655+00:00,baseline,28.5,643.61,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.791,2026-09-20T01:30:59.791269+00:00,baseline,31.6,643.61,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.822,2026-09-20T01:30:59.822468+00:00,baseline,31.2,643.61,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.856,2026-09-20T01:30:59.855813+00:00,baseline,33.3,643.79,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.885,2026-09-20T01:30:59.885077+00:00,baseline,29.3,643.79,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.916,2026-09-20T01:30:59.916472+00:00,baseline,31.4,643.79,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.946,2026-09-20T01:30:59.945522+00:00,baseline,29.0,643.8,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867859.974,2026-09-20T01:30:59.974039+00:00,baseline,28.5,643.8,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.003,2026-09-20T01:31:00.002535+00:00,baseline,28.5,643.8,99.0,5.0,884.0,1980.0,3201.0,54.0
