nohup: ignoring input
timestamp, index, power.draw [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 04:46:30.693, 0, 76.26 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 40
2026/09/25 04:46:30.725, 1, 79.32 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 04:46:35.760, 0, 201.27 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:46:35.760, 1, 218.31 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:46:40.761, 0, 239.23 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 49
2026/09/25 04:46:40.761, 1, 248.88 W, 71 %, 1486 MiB, 1980 MHz, 3201 MHz, 47
2026/09/25 04:46:45.761, 0, 150.29 W, 21 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:46:45.762, 1, 151.37 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 46
2026/09/25 04:46:50.762, 0, 243.07 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:46:50.762, 1, 254.04 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 46
2026/09/25 04:46:55.762, 0, 251.30 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 47
2026/09/25 04:46:55.763, 1, 259.85 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 48
2026/09/25 04:47:00.763, 0, 213.62 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 51
2026/09/25 04:47:00.763, 1, 246.83 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 53
2026/09/25 04:47:05.764, 0, 192.88 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 52
2026/09/25 04:47:05.764, 1, 199.04 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 53
2026/09/25 04:47:10.765, 0, 199.18 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 51
2026/09/25 04:47:10.765, 1, 209.97 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 54
2026/09/25 04:47:15.765, 0, 213.32 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 52
2026/09/25 04:47:15.765, 1, 225.39 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 53
2026/09/25 04:47:20.766, 0, 226.22 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 53
2026/09/25 04:47:20.766, 1, 262.16 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 55
2026/09/25 04:47:25.766, 0, 281.87 W, 65 %, 1486 MiB, 1980 MHz, 3201 MHz, 49
2026/09/25 04:47:25.768, 1, 295.90 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 53
2026/09/25 04:47:30.769, 0, 284.60 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 47
2026/09/25 04:47:30.769, 1, 299.31 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 49
2026/09/25 04:47:35.769, 0, 252.58 W, 93 %, 1486 MiB, 1980 MHz, 3201 MHz, 53
