nohup: ignoring input
timestamp, index, power.draw [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 03:50:24.063, 0, 76.65 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 03:50:24.086, 1, 79.98 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 44
2026/09/25 03:50:34.098, 0, 76.57 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 03:50:34.098, 1, 79.89 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:50:44.098, 0, 76.49 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 03:50:44.098, 1, 79.79 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:50:54.097, 0, 76.43 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 03:50:54.098, 1, 79.77 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:51:04.097, 0, 76.50 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:51:04.097, 1, 79.67 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:51:14.097, 0, 76.43 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:51:14.097, 1, 79.67 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:51:24.097, 0, 76.41 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:51:24.097, 1, 79.64 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:51:34.097, 0, 76.43 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:51:34.097, 1, 79.69 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:51:44.097, 0, 76.33 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:51:44.097, 1, 79.63 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:51:54.097, 0, 76.37 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:51:54.097, 1, 79.57 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:52:04.096, 0, 76.32 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:52:04.097, 1, 79.57 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:52:14.096, 0, 76.30 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:52:14.097, 1, 79.44 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:52:24.097, 0, 76.33 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:52:24.097, 1, 79.52 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:52:34.097, 0, 76.32 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:52:34.097, 1, 79.58 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:52:44.097, 0, 76.31 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:52:44.097, 1, 79.41 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:52:54.097, 0, 76.29 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:52:54.097, 1, 79.52 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:53:04.097, 0, 76.29 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:53:04.097, 1, 79.50 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:53:14.097, 0, 76.21 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:53:14.097, 1, 79.45 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 43
2026/09/25 03:53:24.097, 0, 76.23 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
